Orden,Club,Division,Total,Media,IbM1,IbM2,Lo1,Lo2,CC1,CC2,Ca1,Ca2,CEOL,CEOS,CEOM,IbF1,IbF2,5So1,5So2,5So3,5So4,Ma1,Ma2,Cu1,Cu2,Gr1,Gr2,Av1,Av2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,COB,1,6836.61,284.86,0,0,65.74,71.61,749.21,665.34,0,0,764.37,,729.56,120.73,114.53,581.27,454.9,402.46,429.67,0,0,611.3,578.86,0,0,291.81,205.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,COMCU,1,6548.84,270.61,226.7,85.43,209.41,207.85,166.28,226.35,0,0,127.81,,115.63,213.16,201.18,690.29,620.74,709.78,690.59,0,0,Or,Or,452.71,467.24,270,272.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MONTSANT,1,6096.49,254.02,145.93,139.24,0,0,81.48,204.36,110.73,132.87,467.99,,459.52,0,0,591.66,641.47,629.14,567.57,0,0,671.14,632.17,184.28,174.46,92.5,169.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,COTA,1,5872.56,244.69,312.01,201.98,302.83,266.84,329.33,305.59,177.51,158.33,266.31,,296.53,241.51,302.79,308.58,273.15,278.78,257.14,0,0,283.38,182.9,301.36,274.92,283.45,267.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SIMEPIERDO,1,5431.53,226.31,228.74,236.01,242.21,265.53,244.2,225.87,133.66,145.13,260.42,,261.97,221.93,208.6,204.86,221.76,187.46,205.21,180.09,229.02,241.63,414.49,208.77,192.76,247.89,223.32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LA BRÚJULA - JAIRE,1,5134.54,213.94,504.88,596.46,0,0,255.16,278.83,0,0,682.62,,563.97,0,0,187.26,213.45,220.92,226.19,81.07,90.12,515.23,558.28,91.6,68.5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ALIGOTS,1,4790.63,199.61,217.27,261.29,0,0,281.74,339.13,255.18,255.59,426.3,,416.27,0,0,76.16,167.59,110,154.6,79.97,10,740.07,668.19,81.87,80.68,78.92,89.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SOTOBOSQUE,1,4227.53,176.15,472.85,415.25,0,0,164.53,122.09,0,0,90.72,,125.43,0,0,244.14,188.5,192.48,285.78,0,0,327.08,286.31,328.95,330.6,278.01,374.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RUMBO-MADRID SANSE,1,4118.26,171.59,344.73,232.53,101.09,96.26,102,95.45,10,90.97,92.02,,95.04,102,102,327.65,361.59,440.91,367.29,86.05,89.11,80.66,78.16,180.17,169.69,245.58,227.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GO-XTREM,1,4021.76,167.57,0,0,119.76,143.9,341.41,332.74,61.05,62.08,618.6,,681.22,0,0,282.14,353.24,349.7,261.58,0,0,207.06,207.28,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,C.O.GUADALAJARA,1,3880.72,161.7,169.33,132.78,10,0,148.65,128.45,0,0,446.41,,397.97,0,0,144.91,147.61,370.26,384.24,48.03,0,431.92,367.25,0,0,301.23,251.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MAXIMUS,1,1957.95,74.73,188.96,250.06,81.39,10,53.1,76.2,0,0,153.82,,152.36,0,0,172.49,74.41,163.14,64.42,0,0,148.15,205.04,0,0,Or,Or
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MALARRUTA,2,17840.95,743.37,909.73,803.69,814.56,765.45,794.7,802.93,460.23,666.56,963.17,,957.01,716.04,710.87,693.93,868.08,831.09,700.75,238.26,259.82,845.55,872.47,811.12,875.05,811.82,668.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ESCONDITE-M,2,8064.69,333.25,Or,Or,192.08,189.72,288.32,334.95,0,0,578.61,,539.83,422.96,333.76,472.87,450.67,314.05,310.54,209.79,230.84,637.55,534.1,325.58,284.33,282.56,398.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FLUVIAL LUGO,2,6209.37,258.72,368,472.56,0,0,49.7,58.1,0,0,923.43,,955.2,513.82,539.72,408.07,490.21,412.09,334.52,59.96,80.33,175.63,170.08,0,0,100.49,97.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COBI,2,6029.92,251.25,177.12,169.13,156.27,202.98,0,0,0,0,813.07,,812.25,0,0,746.45,877.82,869.38,756.33,134.81,126.52,115.59,72.2,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SURCO,2,5810.92,242.12,122.94,136.77,449.92,482.02,416,461.49,579.24,402.73,0,,0,0,0,278.04,339.2,367.99,324.9,242.8,236,127.76,132.91,352.97,357.24,0,0
