Orden,Club,Division,Total,Media,CB1,CB2,Ca1,Ca2,J1,J2,CC1,CC2,CEOL,CEOS,CEOM,Por1,Por2,Mo1,Mo2,Pa1,Pa2,S1,S2,Ib1,Ib2,Bi1,Bi2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,XINOXANO,3,1404.4,63.84,105.35,0,119.75,119.34,0,0,0,0,342.7,,285.37,0,0,0,0,0,0,110.48,109.61,0,0,94.81,116.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CALASPARRA-O,3,1314.08,59.73,62.8,0,0,0,73.7,92.62,82.13,67.94,120.88,,139.64,0,0,0,0,0,0,120.22,129.7,154.15,142.52,57.51,70.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ESCONDITE-T,3,1246.17,56.64,84.49,0,100.41,115.8,97.19,113.49,98.11,97.39,0,,0,0,0,0,0,103.6,95.48,109.11,114.04,0,0,12.5,104.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FARRA-O,3,1145.38,52.06,0,0,127.38,125.01,0,0,0,0,396.84,,424.55,0,0,0,0,0,0,0,0,0,0,10,61.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ASON,3,1144.64,52.03,159.17,10,0,0,124.11,64.19,0,0,132.12,,110.8,0,0,0,0,0,0,37.72,63.16,165.38,158.74,57.45,61.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CCVALENCIA,3,1118.94,50.86,103.96,0,0,0,69.86,61.3,8,60.09,119.5,,114.06,0,0,0,0,0,0,69.11,78.8,204.71,229.55,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RAIDERMANIA,3,1090.38,49.56,375.91,0,0,0,116.49,102.12,256.93,196.81,10,,32.12,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,COAraba,3,931.31,42.33,0,0,0,0,0,0,0,0,72.15,,150.55,0,0,0,0,0,0,154.55,159.94,0,0,185.5,208.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,UNIVERSIDAD DE VIGO,3,750.33,34.11,0,0,0,0,0,0,0,0,425.18,,325.15,0,0,0,0,0,0,0,0,0,0,0,0
